receive_time_ns,parse_ok,error,source_topic,source_stamp_sec,unity_update_time_sec,latency_ms,joint_count,raw_data
1783590597417216731,True,,/joint_states,1783590597.35921,1783590597.367,7.792,9,"{""source_topic"":""/joint_states"",""source_stamp_sec"":1783590597.359210000,""unity_update_time_sec"":1783590597.367,""latency_ms"":7.792,""joint_count"":9}"
1783590597525214925,True,,/joint_states,1783590597.46151,1783590597.479,17.493,9,"{""source_topic"":""/joint_states"",""source_stamp_sec"":1783590597.461510000,""unity_update_time_sec"":1783590597.479,""latency_ms"":17.493,""joint_count"":9}"
1783590597625339804,True,,/joint_states,1783590597.56004,1783590597.586,25.956,9,"{""source_topic"":""/joint_states"",""source_stamp_sec"":1783590597.560040000,""unity_update_time_sec"":1783590597.586,""latency_ms"":25.956,""joint_count"":9}"
1783590597721712301,True,,/joint_states,1783590597.65838,1783590597.668,9.62,9,"{""source_topic"":""/joint_states"",""source_stamp_sec"":1783590597.658380000,""unity_update_time_sec"":1783590597.668,""latency_ms"":9.620,""joint_count"":9}"
1783590597820795347,True,,/joint_states,1783590597.76069,1783590597.777,16.313,9,"{""source_topic"":""/joint_states"",""source_stamp_sec"":1783590597.760690000,""unity_update_time_sec"":1783590597.777,""latency_ms"":16.313,""joint_count"":9}"
1783590597962914356,True,,/joint_states,1783590597.85895,1783590597.867,8.051,9,"{""source_topic"":""/joint_states"",""source_stamp_sec"":1783590597.858950000,""unity_update_time_sec"":1783590597.867,""latency_ms"":8.051,""joint_count"":9}"
1783590598017463164,True,,/joint_states,1783590597.9612,1783590597.966,4.805,9,"{""source_topic"":""/joint_states"",""source_stamp_sec"":1783590597.961200000,""unity_update_time_sec"":1783590597.966,""latency_ms"":4.805,""joint_count"":9}"
1783590598122756221,True,,/joint_states,1783590598.05966,1783590598.078,18.336,9,"{""source_topic"":""/joint_states"",""source_stamp_sec"":1783590598.059660000,""unity_update_time_sec"":1783590598.078,""latency_ms"":18.336,""joint_count"":9}"
1783590598230384729,True,,/joint_states,1783590598.15814,1783590598.168,9.86,9,"{""source_topic"":""/joint_states"",""source_stamp_sec"":1783590598.158140000,""unity_update_time_sec"":1783590598.168,""latency_ms"":9.860,""joint_count"":9}"
1783590598322737973,True,,/joint_states,1783590598.26038,1783590598.278,17.623,9,"{""source_topic"":""/joint_states"",""source_stamp_sec"":1783590598.260380000,""unity_update_time_sec"":1783590598.278,""latency_ms"":17.623,""joint_count"":9}"
1783590598424397924,True,,/joint_states,1783590598.35866,1783590598.376,17.343,9,"{""source_topic"":""/joint_states"",""source_stamp_sec"":1783590598.358660000,""unity_update_time_sec"":1783590598.376,""latency_ms"":17.343,""joint_count"":9}"
1783590598538474051,True,,/joint_states,1783590598.46094,1783590598.477,16.059,9,"{""source_topic"":""/joint_states"",""source_stamp_sec"":1783590598.460940000,""unity_update_time_sec"":1783590598.477,""latency_ms"":16.059,""joint_count"":9}"
1783590598617506595,True,,/joint_states,1783590598.5594,1783590598.567,7.6,9,"{""source_topic"":""/joint_states"",""source_stamp_sec"":1783590598.559400000,""unity_update_time_sec"":1783590598.567,""latency_ms"":7.600,""joint_count"":9}"
1783590598724644679,True,,/joint_states,1783590598.66173,1783590598.678,16.272,9,"{""source_topic"":""/joint_states"",""source_stamp_sec"":1783590598.661730000,""unity_update_time_sec"":1783590598.678,""latency_ms"":16.272,""joint_count"":9}"
1783590598813539316,True,,/joint_states,1783590598.76008,1783590598.768,7.921,9,"{""source_topic"":""/joint_states"",""source_stamp_sec"":1783590598.760080000,""unity_update_time_sec"":1783590598.768,""latency_ms"":7.921,""joint_count"":9}"
1783590598924201179,True,,/joint_states,1783590598.86228,1783590598.877,14.717,9,"{""source_topic"":""/joint_states"",""source_stamp_sec"":1783590598.862280000,""unity_update_time_sec"":1783590598.877,""latency_ms"":14.717,""joint_count"":9}"
1783590599018313989,True,,/joint_states,1783590598.96067,1783590598.976,15.329,9,"{""source_topic"":""/joint_states"",""source_stamp_sec"":1783590598.960670000,""unity_update_time_sec"":1783590598.976,""latency_ms"":15.329,""joint_count"":9}"
1783590599134707253,True,,/joint_states,1783590599.05907,1783590599.086,26.926,9,"{""source_topic"":""/joint_states"",""source_stamp_sec"":1783590599.059070000,""unity_update_time_sec"":1783590599.086,""latency_ms"":26.926,""joint_count"":9}"
