time_ns,joint_name,hardware_position,ros_position,error
1783426741235536851,arm_link3_to_arm4_joint,-0.14441419728597005,-0.14441419728597005,0.0
1783426741235536851,arm_link4_to_armFork_joint,0.22113567666213066,0.22113567666213066,0.0
1783426741235536851,basket_link_to_armFork_joint,0.008590425570214095,0.008489225448791084,-0.00010120012142301148
1783426741235536851,basket_crane_link_to_basket_link,,0.0,
1783426741235536851,winch_link_to_basket_crane_link,-6.678699493408203,-6.678703308105469,-3.814697265625e-06
1783426741335566868,base_to_cylinder_joint,-0.008726645739822998,-0.008726645739822998,0.0
1783426741335566868,cylinder_to_arm1_joint,-0.11868238414218736,-0.11868238414218736,0.0
1783426741335566868,arm_link1_to_arm2_joint,-0.1474444974263509,-0.1474444974263509,0.0
1783426741335566868,arm_link2_to_arm3_joint,-0.1474444974263509,-0.1474444974263509,0.0
1783426741335566868,arm_link3_to_arm4_joint,-0.1474444974263509,-0.1474444974263509,0.0
1783426741335566868,arm_link4_to_armFork_joint,0.22113567666213066,0.22113567666213066,0.0
1783426741335566868,basket_link_to_armFork_joint,0.008691625691637105,0.008691625691637105,0.0
1783426741335566868,basket_crane_link_to_basket_link,,0.0,
1783426741335566868,winch_link_to_basket_crane_link,-6.6786956787109375,-6.6786956787109375,0.0
1783426741435532324,base_to_cylinder_joint,-0.008726645739822998,-0.008726645739822998,0.0
1783426741435532324,cylinder_to_arm1_joint,-0.12042771172970601,-0.12042771172970601,0.0
1783426741435532324,arm_link1_to_arm2_joint,-0.14946469751993816,-0.14946469751993816,0.0
1783426741435532324,arm_link2_to_arm3_joint,-0.14946469751993816,-0.14946469751993816,0.0
1783426741435532324,arm_link3_to_arm4_joint,-0.14946469751993816,-0.14946469751993816,0.0
1783426741435532324,arm_link4_to_armFork_joint,0.22288100424964932,0.22288100424964932,0.0
1783426741435532324,basket_link_to_armFork_joint,0.008236225145233556,0.008438625388079579,0.00020240024284602295
1783426741435532324,basket_crane_link_to_basket_link,,0.0,
1783426741435532324,winch_link_to_basket_crane_link,-6.678733825683594,-6.6787261962890625,7.62939453125e-06
1783426741535551871,base_to_cylinder_joint,-0.008726645739822998,-0.008726645739822998,0.0
1783426741535551871,cylinder_to_arm1_joint,-0.12042771172970601,-0.12042771172970601,0.0
1783426741535551871,arm_link1_to_arm2_joint,-0.15148489761352538,-0.15148489761352538,0.0
1783426741535551871,arm_link2_to_arm3_joint,-0.15148489761352538,-0.15148489761352538,0.0
1783426741535551871,arm_link3_to_arm4_joint,-0.15148489761352538,-0.15148489761352538,0.0
1783426741535551871,arm_link4_to_armFork_joint,0.22288100424964932,0.22288100424964932,0.0
