receive_time_ns,header_stamp_sec,frame_id,joint_count,joint_names,positions
1783590537337555545,0.0,,9,base_to_cylinder_joint;cylinder_to_arm1_joint;arm_link1_to_arm2_joint;arm_link2_to_arm3_joint;arm_link3_to_arm4_joint;arm_link4_to_armFork_joint;basket_link_to_armFork_joint;basket_crane_link_to_basket_link;winch_link_to_basket_crane_link,-0.005094065365318645;-0.015701148782882868;-0.052494933207829796;-0.052494933207829796;-0.052494933207829796;0.10070114967695254;0.107063369339091;0.0;-16.34553337097168
1783590537339655683,0.0,,9,base_to_cylinder_joint;cylinder_to_arm1_joint;arm_link1_to_arm2_joint;arm_link2_to_arm3_joint;arm_link3_to_arm4_joint;arm_link4_to_armFork_joint;basket_link_to_armFork_joint;basket_crane_link_to_basket_link;winch_link_to_basket_crane_link,0.00011935330839762948;-0.015701148782882868;-0.052494933207829796;-0.052494933207829796;-0.052494933207829796;0.10070114967695254;0.0;0.0;0.0
1783590537438552547,0.0,,9,base_to_cylinder_joint;cylinder_to_arm1_joint;arm_link1_to_arm2_joint;arm_link2_to_arm3_joint;arm_link3_to_arm4_joint;arm_link4_to_armFork_joint;basket_link_to_armFork_joint;basket_crane_link_to_basket_link;winch_link_to_basket_crane_link,-0.005094050801156547;-0.015701148782882868;-0.052494933207829796;-0.052494933207829796;-0.052494933207829796;0.10070114967695254;0.107063369339091;0.0;-16.34553337097168
1783590537438925680,0.0,,9,base_to_cylinder_joint;cylinder_to_arm1_joint;arm_link1_to_arm2_joint;arm_link2_to_arm3_joint;arm_link3_to_arm4_joint;arm_link4_to_armFork_joint;basket_link_to_armFork_joint;basket_crane_link_to_basket_link;winch_link_to_basket_crane_link,0.00011936787255972803;-0.015701148782882868;-0.052494933207829796;-0.052494933207829796;-0.052494933207829796;0.10070114967695254;0.0;0.0;0.0
1783590537522078448,0.0,,9,base_to_cylinder_joint;cylinder_to_arm1_joint;arm_link1_to_arm2_joint;arm_link2_to_arm3_joint;arm_link3_to_arm4_joint;arm_link4_to_armFork_joint;basket_link_to_armFork_joint;basket_crane_link_to_basket_link;winch_link_to_basket_crane_link,-0.005094036236994448;-0.015701148782882868;-0.052494933207829796;-0.052494933207829796;-0.052494933207829796;0.10070114967695254;0.107063369339091;0.0;-16.34553337097168
1783590537523882187,0.0,,9,base_to_cylinder_joint;cylinder_to_arm1_joint;arm_link1_to_arm2_joint;arm_link2_to_arm3_joint;arm_link3_to_arm4_joint;arm_link4_to_armFork_joint;basket_link_to_armFork_joint;basket_crane_link_to_basket_link;winch_link_to_basket_crane_link,0.00011938243672182658;-0.015701148782882868;-0.052494933207829796;-0.052494933207829796;-0.052494933207829796;0.10070114967695254;0.0;0.0;0.0
1783590537708001268,0.0,,9,base_to_cylinder_joint;cylinder_to_arm1_joint;arm_link1_to_arm2_joint;arm_link2_to_arm3_joint;arm_link3_to_arm4_joint;arm_link4_to_armFork_joint;basket_link_to_armFork_joint;basket_crane_link_to_basket_link;winch_link_to_basket_crane_link,-0.0050940216728323495;-0.015701148782882868;-0.052494933207829796;-0.052494933207829796;-0.052494933207829796;0.10070114967695254;0.107063369339091;0.0;-16.34553337097168
1783590537708500188,0.0,,9,base_to_cylinder_joint;cylinder_to_arm1_joint;arm_link1_to_arm2_joint;arm_link2_to_arm3_joint;arm_link3_to_arm4_joint;arm_link4_to_armFork_joint;basket_link_to_armFork_joint;basket_crane_link_to_basket_link;winch_link_to_basket_crane_link,0.00011939700088392513;-0.015701148782882868;-0.052494933207829796;-0.052494933207829796;-0.052494933207829796;0.10070114967695254;0.0;0.0;0.0
1783590537740901533,0.0,,9,base_to_cylinder_joint;cylinder_to_arm1_joint;arm_link1_to_arm2_joint;arm_link2_to_arm3_joint;arm_link3_to_arm4_joint;arm_link4_to_armFork_joint;basket_link_to_armFork_joint;basket_crane_link_to_basket_link;winch_link_to_basket_crane_link,-0.005094007108670251;-0.015701148782882868;-0.052494933207829796;-0.052494933207829796;-0.052494933207829796;0.10070114967695254;0.107063369339091;0.0;-16.34553337097168
1783590537742584144,0.0,,9,base_to_cylinder_joint;cylinder_to_arm1_joint;arm_link1_to_arm2_joint;arm_link2_to_arm3_joint;arm_link3_to_arm4_joint;arm_link4_to_armFork_joint;basket_link_to_armFork_joint;basket_crane_link_to_basket_link;winch_link_to_basket_crane_link,0.00011941156504602368;-0.015701148782882868;-0.052494933207829796;-0.052494933207829796;-0.052494933207829796;0.10070114967695254;0.0;0.0;0.0
1783590537854913319,0.0,,9,base_to_cylinder_joint;cylinder_to_arm1_joint;arm_link1_to_arm2_joint;arm_link2_to_arm3_joint;arm_link3_to_arm4_joint;arm_link4_to_armFork_joint;basket_link_to_armFork_joint;basket_crane_link_to_basket_link;winch_link_to_basket_crane_link,-0.005093992544508152;-0.015701148782882868;-0.052494933207829796;-0.052494933207829796;-0.052494933207829796;0.10070114967695254;0.107063369339091;0.0;-16.34553337097168
1783590537855721502,0.0,,9,base_to_cylinder_joint;cylinder_to_arm1_joint;arm_link1_to_arm2_joint;arm_link2_to_arm3_joint;arm_link3_to_arm4_joint;arm_link4_to_armFork_joint;basket_link_to_armFork_joint;basket_crane_link_to_basket_link;winch_link_to_basket_crane_link,0.00011942612920812223;-0.015701148782882868;-0.052494933207829796;-0.052494933207829796;-0.052494933207829796;0.10070114967695254;0.0;0.0;0.0
