time_ns,time_s,statusjoy,state_name
1783496559050320813,1783496559.0503209,0,no_battery_power
1783496559055466649,1783496559.0554667,0,no_battery_power
1783496559067767011,1783496559.0677671,0,no_battery_power
1783496559075421589,1783496559.0754218,0,no_battery_power
1783496559087534198,1783496559.0875342,0,no_battery_power
1783496559096080215,1783496559.09608,0,no_battery_power
1783496559096182136,1783496559.096182,0,no_battery_power
1783496559103854017,1783496559.1038542,0,no_battery_power
1783496559107993649,1783496559.1079936,0,no_battery_power
1783496559119252992,1783496559.119253,0,no_battery_power
1783496559119349784,1783496559.1193497,0,no_battery_power
1783496559128474720,1783496559.1284747,0,no_battery_power
1783496559132524072,1783496559.132524,0,no_battery_power
1783496559144746057,1783496559.144746,0,no_battery_power
1783496559149511036,1783496559.1495109,0,no_battery_power
1783496559153041411,1783496559.1530414,0,no_battery_power
1783496559157263428,1783496559.1572633,0,no_battery_power
1783496559165521913,1783496559.1655219,0,no_battery_power
1783496559174155554,1783496559.1741555,0,no_battery_power
1783496559185856318,1783496559.1858563,0,no_battery_power
1783496559193990870,1783496559.193991,0,no_battery_power
1783496559198911221,1783496559.1989112,0,no_battery_power
1783496559206255305,1783496559.2062554,0,no_battery_power
1783496559210592428,1783496559.2105925,0,no_battery_power
1783496559216765648,1783496559.2167656,0,no_battery_power
1783496559226761894,1783496559.226762,0,no_battery_power
1783496559255655650,1783496559.2556558,0,no_battery_power
1783496559255756209,1783496559.2557564,0,no_battery_power
1783496559255819989,1783496559.25582,0,no_battery_power
1783496559255878529,1783496559.2558787,0,no_battery_power
1783496559259742482,1783496559.2597425,0,no_battery_power
1783496559259844424,1783496559.2598443,0,no_battery_power
1783496559267886922,1783496559.2678869,0,no_battery_power
1783496559275937616,1783496559.2759376,0,no_battery_power
1783496559288377862,1783496559.2883778,0,no_battery_power
1783496559296576434,1783496559.2965765,0,no_battery_power
1783496559300531188,1783496559.3005311,0,no_battery_power
1783496559308870014,1783496559.3088698,0,no_battery_power
1783496559309002353,1783496559.3090022,0,no_battery_power
1783496559317049189,1783496559.317049,0,no_battery_power
1783496559329511717,1783496559.3295116,0,no_battery_power
1783496559333296081,1783496559.333296,0,no_battery_power
1783496559337401548,1783496559.3374016,0,no_battery_power
1783496559374279583,1783496559.3742797,0,no_battery_power
1783496559374567625,1783496559.3745677,0,no_battery_power
1783496559378684825,1783496559.378685,0,no_battery_power
1783496559378819899,1783496559.37882,0,no_battery_power
1783496559382888066,1783496559.382888,0,no_battery_power
1783496559395022116,1783496559.3950222,0,no_battery_power
1783496559399018929,1783496559.399019,0,no_battery_power
1783496559403524690,1783496559.4035246,0,no_battery_power
1783496559407133072,1783496559.407133,0,no_battery_power
1783496559415944217,1783496559.415944,0,no_battery_power
1783496559420678769,1783496559.4206786,0,no_battery_power
1783496559420981759,1783496559.4209816,0,no_battery_power
1783496559435943131,1783496559.4359431,0,no_battery_power
1783496559440009034,1783496559.4400089,0,no_battery_power
1783496559456467003,1783496559.456467,0,no_battery_power
1783496559460384236,1783496559.4603844,0,no_battery_power
1783496559460505695,1783496559.4605055,0,no_battery_power
1783496559468281952,1783496559.4682817,0,no_battery_power
1783496559476889563,1783496559.4768896,0,no_battery_power
