event_time,sensor_id,raw_time,converted_time,delta_ms,matched,reason
1754904964.661,imu,1754904964.661,1754904964.661,0.05,1,matched
1754904964.668,imu,1754904964.668,1754904964.668,0.05,1,matched
1754904964.673,gps,1754904964.673,1754904964.673,0.05,1,matched
1754904964.674,imu,1754904964.674,1754904964.674,0.02,1,matched
1754904964.681,imu,1754904964.681,1754904964.681,0.04,1,matched
1754904964.688,imu,1754904964.688,1754904964.688,0.04,1,matched
1754904964.694,imu,1754904964.694,1754904964.694,0.05,1,matched
1754904964.702,imu,1754904964.702,1754904964.702,0.06,1,matched
1754904964.708,imu,1754904964.708,1754904964.708,0.05,1,matched
1754904964.715,imu,1754904964.715,1754904964.715,0.06,1,matched
1754904964.722,imu,1754904964.721,1754904964.722,0.08,1,matched
1754904964.735,imu,1754904964.735,1754904964.735,0.05,1,matched
1754904964.742,imu,1754904964.742,1754904964.742,0.04,1,matched
1754904964.750,imu,1754904964.750,1754904964.750,0.04,1,matched
1754904964.756,imu,1754904964.756,1754904964.756,0.05,1,matched
1754904964.763,imu,1754904964.763,1754904964.763,0.05,1,matched
1754904964.770,imu,1754904964.769,1754904964.769,0.05,1,matched
1754904964.776,imu,1754904964.776,1754904964.776,0.05,1,matched
1754904964.783,imu,1754904964.783,1754904964.783,0.06,1,matched
1754904964.790,imu,1754904964.790,1754904964.790,0.05,1,matched
1754904964.796,imu,1754904964.796,1754904964.796,0.06,1,matched
1754904964.803,imu,1754904964.803,1754904964.803,0.09,1,matched
1754904964.810,imu,1754904964.810,1754904964.810,0.05,1,matched
1754904964.816,imu,1754904964.816,1754904964.816,0.07,1,matched
1754904964.823,imu,1754904964.823,1754904964.823,0.04,1,matched
1754904964.830,imu,1754904964.830,1754904964.830,0.07,1,matched
1754904964.836,imu,1754904964.836,1754904964.836,0.04,1,matched
1754904964.843,imu,1754904964.843,1754904964.843,0.05,1,matched
1754904964.850,imu,1754904964.850,1754904964.850,0.07,1,matched
1754904964.856,imu,1754904964.856,1754904964.856,0.06,1,matched
1754904964.863,imu,1754904964.863,1754904964.863,0.07,1,matched
1754904964.870,imu,1754904964.870,1754904964.870,0.05,1,matched
1754904964.876,imu,1754904964.876,1754904964.876,0.05,1,matched
1754904964.881,gps,1754904964.881,1754904964.881,0.04,1,matched
1754904964.883,imu,1754904964.883,1754904964.883,0.03,1,matched
1754904964.890,imu,1754904964.890,1754904964.890,0.05,1,matched
1754904964.892,lidar,1754904964.892,1754904964.892,0.05,1,matched
