time_ns,time_s,statusjoy,valid_value
1783505085887387408,1783505085.8873873,1,True
1783505085891509930,1783505085.89151,1,True
1783505085899720788,1783505085.8997207,1,True
1783505085907878747,1783505085.9078786,1,True
1783505085911897052,1783505085.9118972,1,True
1783505085915843261,1783505085.9158432,1,True
1783505085920033721,1783505085.9200337,1,True
1783505085948891401,1783505085.9488914,1,True
1783505085949052765,1783505085.9490526,1,True
1783505085953127416,1783505085.9531274,1,True
1783505085957074187,1783505085.9570742,1,True
1783505085961054260,1783505085.9610543,1,True
1783505085964934314,1783505085.9649343,1,True
1783505085969329660,1783505085.9693296,1,True
1783505085973475705,1783505085.9734757,1,True
1783505085981628615,1783505085.9816287,1,True
1783505085985779630,1783505085.9857798,1,True
1783505085986057203,1783505085.9860573,1,True
1783505085989937869,1783505085.989938,1,True
1783505086002125895,1783505086.0021257,1,True
1783505086005970522,1783505086.0059705,1,True
1783505086022573150,1783505086.022573,1,True
1783505086026636300,1783505086.0266364,1,True
1783505086026928821,1783505086.026929,1,True
1783505086030837179,1783505086.0308373,1,True
1783505086034786343,1783505086.0347862,1,True
1783505086043024313,1783505086.0430243,1,True
1783505086047028040,1783505086.047028,1,True
1783505086051187672,1783505086.0511878,1,True
1783505086067694389,1783505086.0676944,1,True
1783505086071706713,1783505086.0717065,1,True
1783505086079890290,1783505086.0798903,1,True
1783505086083803747,1783505086.0838037,1,True
1783505086087962457,1783505086.0879624,1,True
1783505086092032379,1783505086.0920322,1,True
1783505086092140262,1783505086.0921402,1,True
1783505086100044182,1783505086.1000443,1,True
1783505086108598047,1783505086.108598,1,True
1783505086120699209,1783505086.1206992,1,True
1783505086129018091,1783505086.129018,1,True
1783505086133148598,1783505086.1331487,1,True
1783505086133250189,1783505086.1332502,1,True
1783505086141208221,1783505086.1412084,1,True
1783505086145466258,1783505086.1454663,1,True
1783505086149395936,1783505086.149396,1,True
