time_ns,joint_name,hardware_position,ros_position,error
1783419907219075706,arm_link2_to_arm3_joint,,,
1783419907219075706,arm_link3_to_arm4_joint,,,
1783419907219075706,arm_link4_to_armFork_joint,,,
1783419907319053831,base_to_cylinder_joint,,,
1783419907319053831,cylinder_to_arm1_joint,,,
1783419907319053831,arm_link1_to_arm2_joint,,,
1783419907319053831,arm_link2_to_arm3_joint,,,
1783419907319053831,arm_link3_to_arm4_joint,,,
1783419907319053831,arm_link4_to_armFork_joint,,,
1783419907419052252,base_to_cylinder_joint,,,
1783419907419052252,cylinder_to_arm1_joint,,,
1783419907419052252,arm_link1_to_arm2_joint,,,
1783419907419052252,arm_link2_to_arm3_joint,,,
1783419907419052252,arm_link3_to_arm4_joint,,,
1783419907419052252,arm_link4_to_armFork_joint,,,
1783419907519083725,base_to_cylinder_joint,,,
1783419907519083725,cylinder_to_arm1_joint,,,
1783419907519083725,arm_link1_to_arm2_joint,,,
1783419907519083725,arm_link2_to_arm3_joint,,,
1783419907519083725,arm_link3_to_arm4_joint,,,
1783419907519083725,arm_link4_to_armFork_joint,,,
1783419907619027483,base_to_cylinder_joint,,,
1783419907619027483,cylinder_to_arm1_joint,,,
1783419907619027483,arm_link1_to_arm2_joint,,,
1783419907619027483,arm_link2_to_arm3_joint,,,
1783419907619027483,arm_link3_to_arm4_joint,,,
1783419907619027483,arm_link4_to_armFork_joint,,,
1783419907719067150,base_to_cylinder_joint,,,
1783419907719067150,cylinder_to_arm1_joint,,,
1783419907719067150,arm_link1_to_arm2_joint,,,
1783419907719067150,arm_link2_to_arm3_joint,,,
1783419907719067150,arm_link3_to_arm4_joint,,,
1783419907719067150,arm_link4_to_armFork_joint,,,
1783419907819051976,base_to_cylinder_joint,,,
1783419907819051976,cylinder_to_arm1_joint,,,
1783419907819051976,arm_link1_to_arm2_joint,,,
1783419907819051976,arm_link2_to_arm3_joint,,,
1783419907819051976,arm_link3_to_arm4_joint,,,
1783419907819051976,arm_link4_to_armFork_joint,,,
1783419907919313917,base_to_cylinder_joint,,,
1783419907919313917,cylinder_to_arm1_joint,,,
1783419907919313917,arm_link1_to_arm2_joint,,,
